,Open,Close,Mid
133,6713.709961,6727.669922,6720.6899415
134,6758.640137,6716.529785,6737.5849610000005
135,6709.390137,6714.939941,6712.1650389999995
136,6737.089844,6764.439941,6750.764892499999
137,6763.299805,6786.439941,6774.869873
138,6785.439941,6767.779785,6776.609863
139,6764.850098,6789.120117,6776.985107500001
140,6737.450195,6750.049805,6743.75
141,6736.390137,6750.939941,6743.6650389999995
142,6727.390137,6757.600098,6742.495117500001
143,6733.870117,6737.870117,6735.870117
144,6742.339844,6793.290039,6767.814941500001
145,6794.450195,6782.790039,6788.620117
146,6893.720215,6912.359863,6903.0400389999995
147,6907.279785,6824.390137,6865.8349610000005
148,6852.799805,6873.970215,6863.38501
149,6844.040039,6847.589844,6845.814941500001
150,6897.129883,6775.370117,6836.25
151,6759.140137,6762.209961,6760.6750489999995
