,Low,High,Average
48,3949.01001,3975.889893,3962.4499514999998
49,3969.219971,3985.969971,3977.594971
50,3942.850098,3994.969971,3968.9100344999997
51,3923.469971,3960.439941,3941.954956
52,3911.610107,3952.080078,3931.8450924999997
53,3936.820068,3970.909912,3953.86499
54,3973.0,3991.659912,3982.329956
55,3987.159912,4007.090088,3997.125
56,3989.48999,4026.98999,4008.23999
57,4023.649902,4045.810059,4034.7299805000002
58,4055.449951,4069.699951,4062.574951
59,4040.879883,4068.48999,4054.6849365
60,4022.120117,4050.080078,4036.1000974999997
61,4004.76001,4051.73999,4028.25
62,4025.26001,4043.709961,4034.4849855
63,4042.350098,4069.860107,4056.1051024999997
64,4063.5,4081.780029,4072.6400145
65,4056.48999,4074.01001,4065.25
66,3998.919922,4065.080078,4032.0
67,3993.570068,4013.540039,4003.5550535
68,3992.290039,4017.449951,4004.869995
69,4019.139893,4043.0,4031.0699465
70,4011.580078,4034.689941,4023.1350095
71,3979.590088,4070.379883,4024.9849855
72,4045.409912,4063.699951,4054.5549315
73,4064.72998,4111.930176,4088.330078
74,4127.720215,4149.310059,4138.515137
75,4147.149902,4155.620117,4151.3850095
76,4158.589844,4169.970215,4164.2800295
77,4153.640137,4175.359863,4164.5
78,4142.180176,4158.72998,4150.455078
79,4160.77002,4177.72998,4169.25
80,4131.790039,4160.959961,4146.375
81,4124.959961,4152.959961,4138.959961
82,4103.75,4139.779785,4121.764892499999
83,4126.47998,4158.180176,4142.330078
84,4145.0,4171.75,4158.375
85,4142.700195,4182.740234,4162.7202145
86,4142.209961,4174.680176,4158.445068499999
87,4097.990234,4179.470215,4138.7302245
88,4125.810059,4183.839844,4154.824951500001
89,4195.97998,4218.790039,4207.3850095
90,4204.160156,4219.279785,4211.7199705
91,4187.310059,4217.240234,4202.2751465
92,4193.169922,4227.930176,4210.5500489999995
93,4225.52002,4246.549805,4236.034912499999
94,4192.279785,4224.439941,4208.359863
95,4128.169922,4197.930176,4163.0500489999995
96,4052.629883,4136.459961,4094.544922
97,4067.689941,4099.810059,4083.75
98,4044.76001,4091.27002,4068.015015
99,4094.169922,4135.839844,4115.004883
100,4067.610107,4124.919922,4096.2650145
101,3989.949951,4113.549805,4051.7498779999996
102,4004.580078,4044.199951,4024.3900145
103,3968.189941,4026.280029,3997.234985
104,4022.169922,4064.060059,4043.1149905
105,4069.929932,4126.509766,4098.219849
106,4122.609863,4148.299805,4135.454834
107,4153.100098,4198.509766,4175.804932
108,4190.390137,4212.609863,4201.5
109,4170.470215,4240.669922,4205.5700685
110,4225.75,4250.910156,4238.330078
111,4243.560059,4277.330078,4260.4450685
112,4232.379883,4274.290039,4253.3349610000005
113,4226.75,4272.339844,4249.544922
114,4261.629883,4284.850098,4273.2399905
115,4272.109863,4311.129883,4291.619873
116,4275.799805,4307.509766,4291.6547855
117,4278.540039,4316.819824,4297.679931500001
118,4284.779785,4322.459961,4303.619873
119,4275.609863,4342.589844,4309.0998535
120,4239.649902,4284.149902,4261.899902
121,4327.540039,4357.209961,4342.375
122,4344.149902,4362.5,4353.3249510000005
123,4341.0,4371.709961,4356.3549805
124,4319.149902,4371.390137,4345.2700195
125,4307.839844,4339.930176,4323.88501
126,4295.470215,4354.430176,4324.9501955
127,4270.220215,4323.330078,4296.7751465
128,4242.950195,4339.899902,4291.4250485
129,4241.939941,4272.339844,4257.139892499999
130,4273.009766,4301.279785,4287.1447755
131,4284.109863,4334.660156,4309.3850095
132,4283.540039,4334.299805,4308.919922
133,4287.410156,4329.609863,4308.5100095
134,4268.339844,4344.390137,4306.3649905
135,4190.609863,4289.490234,4240.050048499999
136,4203.640137,4274.319824,4238.9799805
137,4173.580078,4263.069824,4218.3249510000005
138,4131.810059,4186.129883,4158.969971
139,4144.689941,4203.490234,4174.0900875
140,4180.540039,4212.970215,4196.755127
141,4218.77002,4268.200195,4243.485107500001
142,4258.859863,4286.089844,4272.4748535
143,4216.569824,4284.689941,4250.629882499999
144,4118.709961,4267.060059,4192.88501
145,4052.139893,4133.680176,4092.9100344999997
146,4066.110107,4120.240234,4093.1751704999997
147,4121.169922,4185.189941,4153.1799315
148,4042.76001,4182.609863,4112.6849365
149,3991.639893,4067.219971,4029.429932
150,3986.5,4050.790039,4018.6450194999998
151,3946.030029,4054.800049,4000.415039
152,4038.810059,4086.280029,4062.545044
